seed,regime,variant,split,n,auc,ap,eer,tpr_at_fpr01,tpr_at_fpr05,tpr_at_fpr10
1337,ff_only,backbone+rppg,dfdc_test,77,0.5685950413223141,0.786005973047614,0.4545454545454546,0.14545454545454545,0.14545454545454545,0.18181818181818182
1337,ff_only,backbone+blink,ff_test,600,0.66258,0.9019225008407932,0.38,0.102,0.134,0.206
1337,ff_only,backbone+blink,celebdf_test,1306,0.5678491540436265,0.8793601243369207,0.45185229666771753,0.0,0.06465899025686449,0.14526129317980513
1337,ff_only,backbone+blink,dfdc_test,77,0.6099173553719008,0.807034039166781,0.4545454545454546,0.12727272727272726,0.14545454545454545,0.2545454545454545
1337,ff_only,full_fusion,ff_test,600,0.66364,0.9024504493694436,0.389,0.114,0.136,0.2
1337,ff_only,full_fusion,celebdf_test,1306,0.5703662558236127,0.8805626795850896,0.44637021913297603,0.0,0.050487156775907885,0.13994685562444642
1337,ff_only,full_fusion,dfdc_test,77,0.6082644628099173,0.8071012315121154,0.4545454545454546,0.14545454545454545,0.16363636363636364,0.21818181818181817
1337,mixed,backbone_only,ff_test,600,0.58896,0.8716312049889452,0.43999999999999995,0.038,0.096,0.174
1337,mixed,backbone_only,celebdf_test,1306,0.8167119544819925,0.9603323079080737,0.2597043531348676,0.08680248007085917,0.3259521700620018,0.45704162976085033
1337,mixed,backbone_only,dfdc_test,77,0.6793388429752066,0.8687351696504904,0.4136363636363637,0.2545454545454545,0.43636363636363634,0.45454545454545453
1337,mixed,backbone+rppg,ff_test,600,0.59132,0.8715838542778556,0.43000000000000005,0.038,0.07,0.184
1337,mixed,backbone+rppg,celebdf_test,1306,0.8094108580664855,0.9582139533172359,0.2555508849889658,0.08325952170062002,0.26483613817537643,0.4481842338352524
1337,mixed,backbone+rppg,dfdc_test,77,0.6834710743801653,0.8717570289272402,0.36363636363636365,0.2545454545454545,0.4,0.41818181818181815
1337,mixed,backbone+blink,ff_test,600,0.59214,0.87347078956145,0.43000000000000005,0.042,0.086,0.174
1337,mixed,backbone+blink,celebdf_test,1306,0.814570166088684,0.9596935741057444,0.2597043531348676,0.07705934455270151,0.3170947741364039,0.4295837023914969
1337,mixed,backbone+blink,dfdc_test,77,0.6851239669421487,0.8700645558738342,0.40454545454545454,0.23636363636363636,0.45454545454545453,0.45454545454545453
1337,mixed,full_fusion,ff_test,600,0.59362,0.8740640667367756,0.44099999999999995,0.052,0.076,0.18
1337,mixed,full_fusion,celebdf_test,1306,0.8090205321443406,0.958142674426958,0.2597043531348676,0.08148804251550044,0.26926483613817537,0.4428697962798937
1337,mixed,full_fusion,dfdc_test,77,0.6900826446280992,0.8745491702822646,0.35454545454545455,0.23636363636363636,0.43636363636363634,0.43636363636363634
2024,ff_only,backbone_only,ff_test,600,0.64356,0.8997424664630759,0.402,0.078,0.162,0.25
2024,ff_only,backbone_only,celebdf_test,1306,0.6065764913702942,0.8916991643279187,0.4235561694014502,0.002657218777679362,0.05225863596102746,0.18511957484499558
2024,ff_only,backbone_only,dfdc_test,77,0.48677685950413224,0.7527173605760218,0.5045454545454545,0.10909090909090909,0.14545454545454545,0.16363636363636364
2024,ff_only,backbone+rppg,ff_test,600,0.64902,0.9014967146102507,0.4,0.07,0.198,0.26
2024,ff_only,backbone+rppg,celebdf_test,1306,0.6063212782673533,0.8946581136154417,0.4294811167324716,0.011514614703277236,0.06997342781222321,0.14437555358724535
2024,ff_only,backbone+rppg,dfdc_test,77,0.47851239669421486,0.7484876757050012,0.5454545454545454,0.10909090909090909,0.10909090909090909,0.2
2024,ff_only,backbone+blink,ff_test,600,0.65866,0.9042500988147302,0.40800000000000003,0.09,0.162,0.256
2024,ff_only,backbone+blink,celebdf_test,1306,0.5979192625842579,0.8893530149034293,0.42444190899400996,0.001771479185119575,0.05934455270150576,0.1629760850310009
2024,ff_only,backbone+blink,dfdc_test,77,0.5165289256198347,0.7641627426471471,0.4545454545454546,0.12727272727272726,0.12727272727272726,0.14545454545454545
2024,ff_only,full_fusion,ff_test,600,0.66562,0.9058801276203953,0.382,0.068,0.182,0.236
2024,ff_only,full_fusion,celebdf_test,1306,0.5991602988495394,0.892518665258735,0.4235561694014502,0.0070859167404783,0.054030115146147036,0.1629760850310009
2024,ff_only,full_fusion,dfdc_test,77,0.5041322314049587,0.7609629809544952,0.4954545454545455,0.10909090909090909,0.2,0.2
2024,mixed,backbone_only,ff_test,600,0.58736,0.8803564251829481,0.45099999999999996,0.08,0.156,0.208
2024,mixed,backbone_only,celebdf_test,1306,0.8445602077734908,0.968289873957814,0.23733317319962172,0.19220549158547387,0.3410097431355182,0.5190434012400355
2024,mixed,backbone_only,dfdc_test,77,0.7082644628099174,0.864557175394104,0.36363636363636365,0.14545454545454545,0.3090909090909091,0.4
2024,mixed,backbone+rppg,ff_test,600,0.58952,0.8805084103308799,0.44999999999999996,0.046,0.126,0.206
2024,mixed,backbone+rppg,celebdf_test,1306,0.8082598970140067,0.9573390827918469,0.2542222756001261,0.11160318866253321,0.26217891939769705,0.3799822852081488
2024,mixed,backbone+rppg,dfdc_test,77,0.687603305785124,0.8555913406096258,0.35454545454545455,0.14545454545454545,0.32727272727272727,0.36363636363636365
2024,mixed,backbone+blink,ff_test,600,0.59636,0.8843295840580041,0.44999999999999996,0.096,0.166,0.24
2024,mixed,backbone+blink,celebdf_test,1306,0.843274133901808,0.9679390019239227,0.23866178258846138,0.19574844995571303,0.3392382639503986,0.525243578387954
2024,mixed,backbone+blink,dfdc_test,77,0.724793388429752,0.8747571853596484,0.35454545454545455,0.16363636363636364,0.34545454545454546,0.45454545454545453
2024,mixed,full_fusion,ff_test,600,0.59302,0.8821672185088612,0.44799999999999995,0.05,0.146,0.196
2024,mixed,full_fusion,celebdf_test,1306,0.8069538064283677,0.957011809657098,0.2487401980653846,0.11514614703277236,0.25597874224977857,0.366696191319752
2024,mixed,full_fusion,dfdc_test,77,0.7033057851239669,0.8649041954355118,0.36363636363636365,0.14545454545454545,0.38181818181818183,0.38181818181818183
