seed,variant,perturbation,n,auc,eer,tpr5
1,full_fusion,downscale_2x,600,0.7661,0.30000000000000004,0.382
1,full_fusion,blur_s3,600,0.70586,0.36,0.27
1,full_fusion,noise_s10,600,0.76112,0.30900000000000005,0.36
1,full_fusion,jpeg_q30,600,0.74126,0.32899999999999996,0.342
1,full_fusion,noise_s5,600,0.75972,0.31000000000000005,0.412
42,backbone_only,noise_s20,600,0.73928,0.32799999999999996,0.33
42,backbone_only,clean,600,0.76682,0.31899999999999995,0.426
42,backbone_only,jpeg_q50,600,0.75188,0.32999999999999996,0.342
42,backbone_only,blur_s1,600,0.75896,0.32899999999999996,0.372
42,backbone_only,downscale_4x,600,0.72622,0.34099999999999997,0.3
42,backbone_only,jpeg_q10,600,0.6958,0.362,0.23
42,backbone_only,blur_s2,600,0.72724,0.33899999999999997,0.324
42,backbone_only,downscale_2x,600,0.76,0.32799999999999996,0.372
42,backbone_only,blur_s3,600,0.69652,0.36,0.28
42,backbone_only,noise_s10,600,0.75776,0.31799999999999995,0.364
42,backbone_only,jpeg_q30,600,0.7384,0.33099999999999996,0.346
42,backbone_only,noise_s5,600,0.75646,0.31999999999999995,0.382
42,backbone+rppg,noise_s20,600,0.74142,0.32999999999999996,0.35
42,backbone+rppg,clean,600,0.76906,0.31000000000000005,0.432
42,backbone+rppg,jpeg_q50,600,0.75386,0.31999999999999995,0.362
42,backbone+rppg,blur_s1,600,0.75964,0.32799999999999996,0.378
42,backbone+rppg,downscale_4x,600,0.72864,0.35,0.292
42,backbone+rppg,jpeg_q10,600,0.69958,0.36,0.242
42,backbone+rppg,blur_s2,600,0.72834,0.35,0.324
42,backbone+rppg,downscale_2x,600,0.761,0.32199999999999995,0.374
42,backbone+rppg,blur_s3,600,0.69804,0.36,0.282
42,backbone+rppg,noise_s10,600,0.75892,0.31000000000000005,0.354
42,backbone+rppg,jpeg_q30,600,0.74078,0.33899999999999997,0.346
42,backbone+rppg,noise_s5,600,0.75792,0.31999999999999995,0.372
42,backbone+blink,noise_s20,600,0.74358,0.32199999999999995,0.344
42,backbone+blink,clean,600,0.77074,0.30200000000000005,0.428
42,backbone+blink,jpeg_q50,600,0.75404,0.31999999999999995,0.35
