config,train,test,seed,variant,n_train,n_test,auc,ap,eer,tpr1,tpr5,tpr10
test_celebdf,ff+dfdc,celebdf,1337,full_fusion,10552,1758,0.7920689820819522,0.9549282658938392,0.27766969303934286,0.03696498054474708,0.25486381322957197,0.43060959792477305
test_celebdf,ff+dfdc,celebdf,2024,backbone_only,10552,1758,0.8217592592592593,0.9641780606962562,0.2593313157515492,0.0966277561608301,0.2924773022049287,0.4578469520103761
test_celebdf,ff+dfdc,celebdf,2024,backbone+rppg,10552,1758,0.8198047269058942,0.962724957304219,0.2504863813229572,0.03826199740596628,0.26459143968871596,0.4578469520103761
test_celebdf,ff+dfdc,celebdf,2024,backbone+blink,10552,1758,0.8315199116107028,0.9672766710894825,0.2639159100734976,0.11867704280155641,0.3521400778210117,0.5129701686121919
test_celebdf,ff+dfdc,celebdf,2024,full_fusion,10552,1758,0.8164420905990296,0.9622381058016991,0.2583585531056348,0.04409857328145266,0.26653696498054474,0.45330739299610895
test_dfdc,ff+celebdf,dfdc,0,backbone_only,11929,77,0.5826446280991735,0.7889618956800626,0.4545454545454546,0.14545454545454545,0.14545454545454545,0.16363636363636364
test_dfdc,ff+celebdf,dfdc,0,backbone+rppg,11929,77,0.6057851239669422,0.8052110825009149,0.4136363636363637,0.14545454545454545,0.18181818181818182,0.18181818181818182
test_dfdc,ff+celebdf,dfdc,0,backbone+blink,11929,77,0.5933884297520661,0.79588327025011,0.4545454545454546,0.14545454545454545,0.16363636363636364,0.16363636363636364
test_dfdc,ff+celebdf,dfdc,0,full_fusion,11929,77,0.6214876033057851,0.8153161769514499,0.4136363636363637,0.14545454545454545,0.18181818181818182,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,1,backbone_only,11929,77,0.5520661157024793,0.7823871959438081,0.4136363636363637,0.14545454545454545,0.18181818181818182,0.18181818181818182
test_dfdc,ff+celebdf,dfdc,1,backbone+rppg,11929,77,0.5661157024793388,0.7835971509185512,0.4136363636363637,0.12727272727272726,0.14545454545454545,0.16363636363636364
test_dfdc,ff+celebdf,dfdc,1,backbone+blink,11929,77,0.5628099173553719,0.7893704535304652,0.36363636363636365,0.16363636363636364,0.18181818181818182,0.2
test_dfdc,ff+celebdf,dfdc,1,full_fusion,11929,77,0.5793388429752067,0.7934213935247528,0.40454545454545454,0.14545454545454545,0.16363636363636364,0.18181818181818182
test_dfdc,ff+celebdf,dfdc,42,backbone_only,11929,77,0.5479338842975207,0.779007126085377,0.4545454545454546,0.12727272727272726,0.12727272727272726,0.2
test_dfdc,ff+celebdf,dfdc,42,backbone+rppg,11929,77,0.5768595041322314,0.7927640496204726,0.4636363636363636,0.14545454545454545,0.16363636363636364,0.2
test_dfdc,ff+celebdf,dfdc,42,backbone+blink,11929,77,0.5867768595041323,0.8009758448734019,0.44545454545454544,0.12727272727272726,0.14545454545454545,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,42,full_fusion,11929,77,0.6148760330578512,0.8131834012305539,0.4545454545454546,0.12727272727272726,0.21818181818181817,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,1337,backbone_only,11929,77,0.5677685950413223,0.7655788290426624,0.4136363636363637,0.10909090909090909,0.10909090909090909,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,1337,backbone+rppg,11929,77,0.5537190082644629,0.7551945245362957,0.4136363636363637,0.10909090909090909,0.10909090909090909,0.12727272727272726
