seed,variant,split,n,auc,ece_raw,ece_platt,platt_a,platt_b
42,backbone+blink,celebdf_test,1306,0.8079896713755986,0.057111236576281865,0.06795604234906469,3.3196892738342285,-1.0756680965423584
42,backbone+blink,dfdc_test,77,0.6834710743801653,0.12018007814110099,0.08104072801478497,3.3196892738342285,-1.0756680965423584
42,full_fusion,ff_test,600,0.59458,0.05025645981232326,0.023535577406485875,3.015554666519165,-0.8130886554718018
42,full_fusion,celebdf_test,1306,0.8526219393193316,0.06366267658279463,0.09449174249427789,3.015554666519165,-0.8130886554718018
42,full_fusion,dfdc_test,77,0.7223140495867768,0.12899610167974002,0.11807063105818513,3.015554666519165,-0.8130886554718018
1337,backbone_only,ff_test,600,0.58896,0.03425162047147751,0.01633892297744751,3.2339847087860107,-1.082017421722412
1337,backbone_only,celebdf_test,1306,0.8167119544819925,0.0468542708417723,0.0706626015728137,3.2339847087860107,-1.082017421722412
1337,backbone_only,dfdc_test,77,0.6793388429752066,0.14960008666112826,0.15002633921511763,3.2339847087860107,-1.082017421722412
1337,backbone+rppg,ff_test,600,0.59132,0.02665529489517212,0.013157275517781576,3.329580068588257,-1.1772398948669434
1337,backbone+rppg,celebdf_test,1306,0.8094108580664855,0.05043847420770578,0.0631411667987362,3.329580068588257,-1.1772398948669434
1337,backbone+rppg,dfdc_test,77,0.6834710743801653,0.1470536407712218,0.1293501149524342,3.329580068588257,-1.1772398948669434
1337,backbone+blink,ff_test,600,0.59214,0.021087820033232372,0.01771908164024353,3.30926513671875,-1.1457046270370483
1337,backbone+blink,celebdf_test,1306,0.814570166088684,0.047508493955796205,0.06760601290882455,3.30926513671875,-1.1457046270370483
1337,backbone+blink,dfdc_test,77,0.6851239669421487,0.1695749419076102,0.14675083408108006,3.30926513671875,-1.1457046270370483
1337,full_fusion,ff_test,600,0.59362,0.02421136125922203,0.01704493204752604,3.374185085296631,-1.2138583660125732
1337,full_fusion,celebdf_test,1306,0.8090205321443406,0.05010463929468421,0.06437605865881602,3.374185085296631,-1.2138583660125732
1337,full_fusion,dfdc_test,77,0.6900826446280992,0.13513181271491112,0.11229240352457219,3.374185085296631,-1.2138583660125732
2024,backbone_only,ff_test,600,0.58736,0.054882288724184033,0.02073287844657898,2.8210630416870117,-0.711527407169342
2024,backbone_only,celebdf_test,1306,0.8445602077734908,0.04833520174733895,0.0862356084776874,2.8210630416870117,-0.711527407169342
2024,backbone_only,dfdc_test,77,0.7082644628099174,0.10688422600944322,0.08299151333895596,2.8210630416870117,-0.711527407169342
2024,backbone+rppg,ff_test,600,0.58952,0.030042539834976192,0.01619118690490723,3.1244988441467285,-0.9796238541603088
2024,backbone+rppg,celebdf_test,1306,0.8082598970140067,0.04481609469168402,0.07491927102185318,3.1244988441467285,-0.9796238541603088
2024,backbone+rppg,dfdc_test,77,0.687603305785124,0.09487177683161452,0.10559080676598982,3.1244988441467285,-0.9796238541603088
2024,backbone+blink,ff_test,600,0.59636,0.05352201198538145,0.014590452909469604,2.9465866088867188,-0.8098011016845703
2024,backbone+blink,celebdf_test,1306,0.843274133901808,0.04916539507280538,0.0837597315745916,2.9465866088867188,-0.8098011016845703
2024,backbone+blink,dfdc_test,77,0.724793388429752,0.08928649108131209,0.12331644977842059,2.9465866088867188,-0.8098011016845703
2024,full_fusion,ff_test,600,0.59302,0.02115887055794398,0.019729831914107,3.244133949279785,-1.0759549140930176
2024,full_fusion,celebdf_test,1306,0.8069538064283677,0.04268956916894519,0.07603395174601177,3.244133949279785,-1.0759549140930176
2024,full_fusion,dfdc_test,77,0.7033057851239669,0.09048561616377397,0.08848654836803288,3.244133949279785,-1.0759549140930176
