config,train,test,seed,variant,n_train,n_val,n_test,val_source,auc,ap,eer,tpr1,tpr5,tpr10
test_celebdf,ff+dfdc,celebdf,2024,backbone+blink,5781,600,1758,FF++ (identity-aware),0.6188932122784263,0.9066230193103748,0.41553177691309984,0.016861219195849545,0.07587548638132295,0.11867704280155641
test_celebdf,ff+dfdc,celebdf,2024,full_fusion,5781,600,1758,FF++ (identity-aware),0.6273328289378873,0.9099002024063408,0.4119199452370659,0.01556420233463035,0.07846952010376135,0.13229571984435798
test_dfdc,ff+celebdf,dfdc,0,backbone_only,11929,600,77,FF++ (identity-aware),0.5826446280991735,0.7889618956800626,0.4545454545454546,0.14545454545454545,0.14545454545454545,0.16363636363636364
test_dfdc,ff+celebdf,dfdc,0,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6057851239669422,0.8052110825009149,0.4136363636363637,0.14545454545454545,0.18181818181818182,0.18181818181818182
test_dfdc,ff+celebdf,dfdc,0,backbone+blink,11929,600,77,FF++ (identity-aware),0.5933884297520661,0.79588327025011,0.4545454545454546,0.14545454545454545,0.16363636363636364,0.16363636363636364
test_dfdc,ff+celebdf,dfdc,0,full_fusion,11929,600,77,FF++ (identity-aware),0.6214876033057851,0.8153161769514499,0.4136363636363637,0.14545454545454545,0.18181818181818182,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,1,backbone_only,11929,600,77,FF++ (identity-aware),0.5520661157024793,0.7823871959438081,0.4136363636363637,0.14545454545454545,0.18181818181818182,0.18181818181818182
test_dfdc,ff+celebdf,dfdc,1,backbone+rppg,11929,600,77,FF++ (identity-aware),0.5661157024793388,0.7835971509185512,0.4136363636363637,0.12727272727272726,0.14545454545454545,0.16363636363636364
test_dfdc,ff+celebdf,dfdc,1,backbone+blink,11929,600,77,FF++ (identity-aware),0.5628099173553719,0.7893704535304652,0.36363636363636365,0.16363636363636364,0.18181818181818182,0.2
test_dfdc,ff+celebdf,dfdc,1,full_fusion,11929,600,77,FF++ (identity-aware),0.5793388429752067,0.7934213935247528,0.40454545454545454,0.14545454545454545,0.16363636363636364,0.18181818181818182
test_dfdc,ff+celebdf,dfdc,42,backbone_only,11929,600,77,FF++ (identity-aware),0.5479338842975207,0.779007126085377,0.4545454545454546,0.12727272727272726,0.12727272727272726,0.2
test_dfdc,ff+celebdf,dfdc,42,backbone+rppg,11929,600,77,FF++ (identity-aware),0.5768595041322314,0.7927640496204726,0.4636363636363636,0.14545454545454545,0.16363636363636364,0.2
test_dfdc,ff+celebdf,dfdc,42,backbone+blink,11929,600,77,FF++ (identity-aware),0.5867768595041323,0.8009758448734019,0.44545454545454544,0.12727272727272726,0.14545454545454545,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,42,full_fusion,11929,600,77,FF++ (identity-aware),0.6148760330578512,0.8131834012305539,0.4545454545454546,0.12727272727272726,0.21818181818181817,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,1337,backbone_only,11929,600,77,FF++ (identity-aware),0.5677685950413223,0.7655788290426624,0.4136363636363637,0.10909090909090909,0.10909090909090909,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,1337,backbone+rppg,11929,600,77,FF++ (identity-aware),0.5537190082644629,0.7551945245362957,0.4136363636363637,0.10909090909090909,0.10909090909090909,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,1337,backbone+blink,11929,600,77,FF++ (identity-aware),0.5743801652892562,0.7724702602637181,0.4136363636363637,0.12727272727272726,0.12727272727272726,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,1337,full_fusion,11929,600,77,FF++ (identity-aware),0.5603305785123966,0.7642960278708002,0.4136363636363637,0.12727272727272726,0.12727272727272726,0.14545454545454545
test_dfdc,ff+celebdf,dfdc,2024,backbone_only,11929,600,77,FF++ (identity-aware),0.5619834710743802,0.8028121401405783,0.5045454545454545,0.21818181818181817,0.21818181818181817,0.2909090909090909
test_dfdc,ff+celebdf,dfdc,2024,backbone+rppg,11929,600,77,FF++ (identity-aware),0.5892561983471074,0.8182531026031014,0.4545454545454546,0.2727272727272727,0.2909090909090909,0.3090909090909091
test_dfdc,ff+celebdf,dfdc,2024,backbone+blink,11929,600,77,FF++ (identity-aware),0.5727272727272728,0.8074320831126011,0.5363636363636364,0.18181818181818182,0.2545454545454545,0.32727272727272727
test_dfdc,ff+celebdf,dfdc,2024,full_fusion,11929,600,77,FF++ (identity-aware),0.6033057851239669,0.8249950952896934,0.4636363636363636,0.2545454545454545,0.3090909090909091,0.3090909090909091
test_ff,celebdf+dfdc,ff,0,backbone_only,4596,556,600,CelebDF (subject-aware),0.53264,0.8479350161821583,0.45099999999999996,0.016,0.06,0.106
test_ff,celebdf+dfdc,ff,0,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.53346,0.8476075181324392,0.45999999999999996,0.02,0.046,0.114
test_ff,celebdf+dfdc,ff,0,backbone+blink,4596,556,600,CelebDF (subject-aware),0.53132,0.8477870565974254,0.47,0.016,0.064,0.11
test_ff,celebdf+dfdc,ff,0,full_fusion,4596,556,600,CelebDF (subject-aware),0.53168,0.8473441326595827,0.45999999999999996,0.02,0.058,0.11
test_ff,celebdf+dfdc,ff,1,backbone_only,4596,556,600,CelebDF (subject-aware),0.53018,0.8502099905955467,0.47,0.024,0.07,0.152
test_ff,celebdf+dfdc,ff,1,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.52928,0.8499093399302138,0.488,0.02,0.072,0.148
test_ff,celebdf+dfdc,ff,1,backbone+blink,4596,556,600,CelebDF (subject-aware),0.52854,0.8499505735648478,0.48,0.024,0.072,0.16
test_ff,celebdf+dfdc,ff,1,full_fusion,4596,556,600,CelebDF (subject-aware),0.52804,0.8495389842609506,0.479,0.016,0.074,0.16
test_ff,celebdf+dfdc,ff,42,backbone_only,4596,556,600,CelebDF (subject-aware),0.52782,0.852976767051079,0.48,0.026,0.092,0.148
test_ff,celebdf+dfdc,ff,42,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.52932,0.8538472553437608,0.481,0.034,0.1,0.148
test_ff,celebdf+dfdc,ff,42,backbone+blink,4596,556,600,CelebDF (subject-aware),0.52768,0.8532900982076428,0.48,0.026,0.096,0.146
test_ff,celebdf+dfdc,ff,42,full_fusion,4596,556,600,CelebDF (subject-aware),0.5279,0.8530917293422521,0.498,0.03,0.1,0.142
test_ff,celebdf+dfdc,ff,1337,backbone_only,4596,556,600,CelebDF (subject-aware),0.53808,0.8490416516442495,0.45999999999999996,0.014,0.066,0.1
test_ff,celebdf+dfdc,ff,1337,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.53826,0.8490308952971064,0.45999999999999996,0.034,0.058,0.106
test_ff,celebdf+dfdc,ff,1337,backbone+blink,4596,556,600,CelebDF (subject-aware),0.53552,0.8489673645192464,0.46799999999999997,0.018,0.066,0.116
test_ff,celebdf+dfdc,ff,1337,full_fusion,4596,556,600,CelebDF (subject-aware),0.53642,0.8491266197564359,0.45999999999999996,0.04,0.06,0.12
test_ff,celebdf+dfdc,ff,2024,backbone_only,4596,556,600,CelebDF (subject-aware),0.53712,0.8473904001927746,0.47,0.012,0.05,0.126
test_ff,celebdf+dfdc,ff,2024,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.53536,0.8474142929123992,0.48,0.01,0.072,0.104
test_ff,celebdf+dfdc,ff,2024,backbone+blink,4596,556,600,CelebDF (subject-aware),0.53564,0.8474211865381264,0.47,0.012,0.052,0.118
test_ff,celebdf+dfdc,ff,2024,full_fusion,4596,556,600,CelebDF (subject-aware),0.5336,0.84714649950994,0.49,0.012,0.078,0.108
